                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1271,                 3.7304,                 4.1219,                0.00351,                0.86525,                0.01451,                0.00733,                 2.8766,                   3.81,                 4.1189,             0.00041441,             0.00041441,             0.00041441
                      2,                 2.8978,                 3.3488,                 3.8454,                 0.3394,                0.45232,                0.04265,                0.01316,                 2.9577,                 69.014,                 4.5869,             0.00083476,             0.00083476,             0.00083476
                      3,                   2.73,                 3.2128,                 3.5278,                0.67196,                0.12766,                0.00593,                0.00182,                 2.9078,                 59.431,                 4.0488,              0.0012466,              0.0012466,              0.0012466
                      4,                 2.6833,                 3.0905,                 3.3097,                0.76664,                0.11111,                0.08773,                 0.0192,                 2.9745,                 4.2858,                 4.4045,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.6021,                 2.9362,                  3.166,                0.00864,                0.83688,                0.05253,                0.01747,                 2.9601,                 3.7585,                 4.5275,              0.0013866,              0.0013866,              0.0013866
                      6,                 2.4506,                 2.8175,                 2.9887,                0.40873,                0.07801,                0.06471,                0.01875,                  2.589,                 3.5386,                 3.6238,              0.0013724,              0.0013724,              0.0013724
                      7,                 2.3146,                 2.6494,                 2.8699,                0.01216,                0.73455,                0.03898,                0.01367,                 2.8902,                 3.5894,                   3.98,              0.0013583,              0.0013583,              0.0013583
                      8,                 2.2311,                 2.6116,                 2.8022,                0.13765,                0.26258,                  0.139,                0.07136,                 2.4288,                 3.9797,                 3.5469,              0.0013441,              0.0013441,              0.0013441
                      9,                 2.1823,                 2.5802,                 2.7348,                0.14695,                0.37249,                0.23184,                0.07569,                 2.4891,                  4.267,                 3.3832,                0.00133,                0.00133,                0.00133
                     10,                 2.1441,                 2.5129,                 2.6769,                0.32917,                0.30468,                0.27714,                0.09869,                  2.123,                 2.9438,                 3.0012,              0.0013158,              0.0013158,              0.0013158
                     11,                 2.0428,                 2.3709,                 2.5834,                0.25002,                0.54331,                0.28211,                0.10484,                 2.3268,                 2.6993,                 3.0837,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.9864,                 2.3097,                 2.5204,                 0.1655,                0.42069,                0.22829,                0.07496,                 1.9708,                  3.242,                 2.8079,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.9107,                 2.2924,                 2.4556,                0.61007,                0.26162,                0.35307,                0.12645,                 2.2428,                 3.0843,                 2.9487,              0.0012734,              0.0012734,              0.0012734
